localidad
SALADILLO
SALADILLO
SALADILLO DE JUAREZ
SAN ALEJO
SACHA PERA
S JOLLIN
RUMIUARCO
SALADILLO
SALADILLO DE OSMA
SALVADOR MAZZA
SALAR DE POCITOS
SALAR DEL HOMBRE MUERTO
SALAZAR
SALTA
SAN ANTONIO
SALTA FORESTAL KILOMETRO 50
SAN AGUSTIN
SAN ANDRES
RUMIHUASI
SAN AGUSTIN
SALAR DE HOMBRE MUERTO
RUMIHUASI
RIO PESCADO
ROSARIO FUNCA
RIO COLORADO
RIO CARAPAN
SAN ANTONIO
RIO BLANCO
RIO DE LAS PIEDRAS
RIO DEL VALLE
RIO LAVALLEN
RIO PIEDRAS
RIO SECO
RIO TORO
RIO URUEÑA
RIVADAVIA
ROCA
RODEO COLORADO
RODEO GRANDE
RODEO PAMPA
RODEOS
ROSALES
ROSARIO DE LA FRONTERA
ROSARIO DE LERMA
ROSARIO DEL DORADO
RUIZ DE LOS LLANOS
SAN ANTONIO
SAN JUAN DE ORO
SAN ANTONIO CHICOANA
SAN JOAQUIN
SAN JOAQUIN
SAN JORGE
SAN JOSE
SAN JOSE DE COLTE
SAN JOSE DE ESCALCHI
SAN JOSE DE LA VIÑA
SAN JOSE DE ORQUERAS
SAN JUAN
SAN JUAN
SAN JUAN
SAN LAURENCIO
SAN LEON
SAN LORENZO
SAN LORENZO
SAN LORENZO HORCONES
SAN LUCAS
SAN LUIS
RIO ANCHO
SAN MARCOS
SAN LUIS
SAN JAVIER
SAN ANTONIO
SAN ISIDRO DE IRUYA
SAN ISIDRO
SAN ANTONIO DE IRUYA
SAN ANTONIO DE LOS COBRES
SAN ANTONIO LA VIÑA
SAN BERNARDO
SAN BERNARDO
SAN BERNARDO DE LAS ZORRAS
SAN CARLOS
SAN CLEMENTE
SAN ESTEBAN
SAN FELIPE
SAN FELIPE
SAN FELIPE
SAN FERNANDO
SAN FERNANDO DE ESCOIPE
SAN FRANCISCO
SAN GABRIEL
SAN GERONIMO
SAN IGNACIO
SAN IGNACIO
SAN IGNACIO DE LOYOLA
SAN ISIDRO
SAN ISIDRO
RIO ANCHO
POTRERILLO
RETIRO
POTRERO DE DIAZ
POTRERO DE LINARES
POTRERO DE POYOGASTA
POTRERO DE URIBURU
POZO AZUL
POZO BERMEJO
POZO BLANCO
POZO BRAVO
POZO CANTADO
POZO CERCADO
POZO CERCADO
POZO DE LA ESQUINA
POZO DE LA PIEDRA
POZO DEL CHAÑAR
POZO DEL CUICO
POZO DEL CUINCO
POZO DEL GREAL
POZO DEL PATO
POZO DEL SAUCE
POZO DEL ZORRO
POZO EL ALGARROBO
POTRERO DE CASTILLA
POZO GRANDE
POTRERO
POTRERO
PIQUETE CABADO
SAN MARTIN
PIQUETE DE ANTA
