localidad
ESTANCIA DOS HEMANAS
ESTANCIA CARMEN
ESTANCIA CAUCHICO
ESTANCIA COSTANCIA
ESTANCIA CULLEN
ESTANCIA DESPEDIDA
ESTANCIA AURELIA
ESTANCIA BUENOS AIRES
ESTANCIA EL ROBLE
ESTANCIA JOSE MENENDEZ
ESTANCIA EL SALVADOR
ESTANCIA GUAZU CUE
ESTANCIA HARBERTON
ESTANCIA HERMINITA
ESTANCIA INES
ESTANCIA LA CRIOLLA
ESTANCIA LA FUEGUINA
ESTACION OSN
ESTANCIA LA INDIANA
ESTANCIA EL RODEO
ESTACION CIENTIFICA ALTE BROWN
BASE AEREA VICECOMOD MARAMBIO
EL PARAMO
ESTANCIA LA PORTEÑA
ASERRADERO ARROYO
BAHIA LAPATAIA
BASE AEREA TENIENTE MATIENZO
BASE BELGRANO
BASE BELGRANO 2
BASE BELGRANO 3
BASE CIENTIFICA TTE JUBANY
BASE EJERCITO ESPERANZA
BASE EJERCITO GRAL SAN MARTIN
BASE EJERCITO PRIMAVERA
BASE EJERCITO SOBRAL
BASE ORCADAS
CABAÑA RUBY
CABO SAN PABLO
CAMPAMENTO CENTRAL YPF
CAMPAMENTO LOS CHORRILLOS
COMISARIA RADMAN
DESTACAMENTO MELCHIOR
ESTACION AERONAVAL
ESTANCIA LAS HIJAS
MISION SALESIANA MÑOR FAGNANO
ESTANCIA LAURA
ESTANCIA VIAMONTE
FRIGORIFICO CAP
HOSTERIA KAIKEN
ISLA DE LOS ESTADOS
ISLA GRAN MALVINA
ISLA JOINVILLE
ISLA SHETLAND DEL SUR
ISLA SOLEDAD
ISLAS GEORGIAS DEL SUR
ISLAS ORCADAS DEL SUR
ISLAS SANDWICH DEL SUR
LAGO KHAMI
PUNTA MARIA
RIO GRANDE
SAN SEBASTIAN
SANTA INES
SECCION AVILES  ESTANCIA SAN J
TOLHUIN
USHUAIA
ESTANCIA TEPI
ESTANCIA SARA
ESTANCIA SANTA ANA
ESTANCIA SAN PABLO
ESTANCIA LIBERTAD
ESTANCIA LOS FLAMENCOS
ESTANCIA MARIA BEHETY
ESTANCIA MARIA CRISTINA
ESTANCIA MARIA LUISA
ESTANCIA MARINA
ESTANCIA MIRAMONTE
ESTANCIA PIRINAICA
ESTANCIA POLICARPO
ESTANCIA LAS VIOLETAS
ESTANCIA RIO CLARO
ESTANCIA RIO IRIGOYEN
ESTANCIA RIVADAVIA
ESTANCIA ROLITO
ESTANCIA ROSITA
ESTANCIA RUBY
ESTANCIA SAN JOSE
ESTANCIA SAN JULIO
ESTANCIA SAN JUSTO
ESTANCIA SAN MARTIN
ESTANCIA RIO EWAN
ESTANCIA LOS CERROS
